,lalvoterid,zip,age,gender_F,gender_M,religion_Buddhist,religion_Catholic,religion_Christian,religion_Eastern Orthodox,religion_Greek Orthodox,religion_Hindu,religion_Islamic,religion_Jewish,religion_Lutheran,religion_Protestant,religion_Shinto,ethnicity_East and South Asian,ethnicity_European,ethnicity_Hispanic and Portuguese,ethnicity_Likely African-American,ethnicity_Other
80,LALDC174863262,20032.0,37,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
81,LALDC174866087,20018.0,62,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
82,LALDC174868101,20003.0,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
83,LALDC174868307,20012.0,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
84,LALDC174870565,20020.0,47,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
85,LALDC174889736,20020.0,46,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
86,LALDC174897627,20002.0,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
87,LALDC174897883,20003.0,53,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
88,LALDC174903131,20032.0,38,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
89,LALDC174903285,20032.0,38,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
90,LALDC174905493,20010.0,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
91,LALDC174907342,20015.0,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
92,LALDC174913472,20015.0,38,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
93,LALDC174914191,20019.0,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
94,LALDC174916703,20020.0,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
95,LALDC174923030,20020.0,77,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
96,LALDC174925647,20015.0,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
97,LALDC174925728,20019.0,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
98,LALDC174926200,20019.0,78,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
99,LALDC174929292,20002.0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100,LALDC174930183,20020.0,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
101,LALDC174932507,20032.0,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
102,LALDC174936293,20002.0,62,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
103,LALDC174937514,20032.0,63,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
104,LALDC174937603,20002.0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,LALDC174938611,20019.0,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
106,LALDC174939165,20019.0,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
107,LALDC174941169,20010.0,75,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
108,LALDC174942073,20001.0,40,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
109,LALDC174944389,20001.0,39,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
110,LALDC174944591,20011.0,68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
111,LALDC174948110,20018.0,46,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
112,LALDC174949021,20017.0,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
113,LALDC174952571,20011.0,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
114,LALDC174955657,20016.0,44,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
115,LALDC174962528,20020.0,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116,LALDC174964274,20001.0,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
117,LALDC174971072,20019.0,36,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
118,LALDC174979532,20011.0,88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
119,LALDC174981507,20011.0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
120,LALDC174987260,20008.0,44,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
121,LALDC174991381,20017.0,39,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
122,LALDC174993484,20015.0,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
123,LALDC174995886,20020.0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
124,LALDC174998967,20001.0,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,LALDC174999861,20032.0,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
126,LALDC175000256,20020.0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
127,LALDC175002081,20020.0,39,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
128,LALDC175003663,20020.0,31,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
129,LALDC175006139,20001.0,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
130,LALDC175008616,20001.0,71,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
131,LALDC175009874,20009.0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
132,LALDC175013458,20002.0,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
133,LALDC175015146,20011.0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
134,LALDC175018982,20002.0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
135,LALDC175021049,20002.0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
136,LALDC175025171,20020.0,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
137,LALDC175025738,20011.0,76,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
138,LALDC175028245,20001.0,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
139,LALDC175030339,20032.0,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
140,LALDC175035790,20008.0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
141,LALDC175037373,20032.0,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
142,LALDC175037500,20019.0,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
143,LALDC175038751,20019.0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
144,LALDC175045105,20009.0,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,LALDC175047422,20019.0,29,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
146,LALDC175054477,20011.0,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
147,LALDC175058921,20032.0,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
148,LALDC175059354,20017.0,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
149,LALDC175065693,20002.0,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
150,LALDC409298915,20009.0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
151,LALDC409299137,20003.0,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
152,LALDC409300328,20009.0,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
153,LALDC409301912,20015.0,43,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
154,LALDC409303068,20032.0,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
155,LALDC409309498,20032.0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
156,LALDC409313180,20019.0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
157,LALDC409316841,20011.0,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
158,LALDC409322609,20019.0,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
159,LALDC409323991,20032.0,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
160,LALDC409326551,20002.0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
161,LALDC409330584,20032.0,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
162,LALDC409331096,20019.0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
163,LALDC409331213,20002.0,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
164,LALDC409334254,20011.0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
165,LALDC430627875,20032.0,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
166,LALDC430631013,20007.0,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
167,LALDC430633943,20011.0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
168,LALDC440800943,20009.0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
169,LALDC440800980,20001.0,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
170,LALDC440801488,20011.0,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
171,LALDC455561010,20007.0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,LALDC455569906,20007.0,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
173,LALDC455571948,20011.0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
174,LALDC455577439,20002.0,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
175,LALDC455578516,20032.0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
176,LALDC455579029,20024.0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
177,LALDC455584353,20011.0,44,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
178,LALDC455587837,20016.0,54,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
179,LALDC455588509,20001.0,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
180,LALDC455588623,20003.0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
181,LALDC455589306,20011.0,39,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
182,LALDC471475910,20005.0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
183,LALDC471478793,20003.0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
184,LALDC475449283,20019.0,84,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
185,LALDC475456272,20001.0,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
186,LALDC475461536,20002.0,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
187,LALDC486514382,20018.0,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
188,LALDC486522487,20007.0,63,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
189,LALDC486523734,20011.0,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,LALDC486524674,20002.0,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,LALDC486526068,20010.0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
192,LALDC486530481,20002.0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
193,LALDC486531353,20019.0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
194,LALDC505982823,20016.0,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
195,LALDC505989355,20018.0,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
196,LALDC505994627,20002.0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
197,LALDC506000393,20011.0,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
198,LALDC506005973,20001.0,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,LALDC506007047,20011.0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
200,LALDC506008535,20005.0,66,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
201,LALDC506008837,20010.0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
202,LALDC506014465,20015.0,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
203,LALDC506018264,20018.0,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
204,LALDC506019905,20016.0,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
205,LALDC506021563,20009.0,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
206,LALDC506022515,20020.0,26,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
207,LALDC506023101,20015.0,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
208,LALDC506026255,20001.0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
209,LALDC506028195,20003.0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
210,LALDC506028954,20009.0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
211,LALDC519087582,20020.0,76,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
212,LALDC519092793,20003.0,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
213,LALDC519093273,20032.0,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
214,LALDC519093353,20011.0,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
215,LALDC519093442,20003.0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
216,LALDC519094476,20032.0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
217,LALDC537046438,20011.0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
218,LALDC537046621,20011.0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
219,LALDC537047293,20009.0,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
220,LALDC537047673,20011.0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,LALDC537049203,20024.0,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
222,LALDC537049614,20002.0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
223,LALDC537050940,20009.0,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
224,LALDC537051964,20012.0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
225,LALDC537052529,20009.0,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
226,LALDC537053116,20011.0,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
227,LALDC548079468,20003.0,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
228,LALDC548083579,20032.0,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
229,LALDC548085830,20032.0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
230,LALDC548086431,20032.0,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
231,LALDC548086473,20019.0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
232,LALDC548089238,20011.0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
233,LALDC548095059,20020.0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
234,LALDC548095492,20002.0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
235,LALDC548096113,20002.0,63,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
236,LALDC548098306,20008.0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
237,LALDC548099339,20024.0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
238,LALDC551182357,20009.0,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
239,LALDC551182510,20011.0,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
240,LALDC551182624,20017.0,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
241,LALDC551186738,20020.0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
242,LALDC551188959,20018.0,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
243,LALDC551190843,20009.0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
244,LALDC551193497,20001.0,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
245,LALDC551193857,20001.0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
246,LALDC551195085,20007.0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
247,LALDC551195642,20011.0,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
248,LALDC551200647,20017.0,52,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
249,LALDC551201993,20010.0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
250,LALDC551202835,20002.0,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
251,LALDC551204588,20018.0,37,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
252,LALDC551207494,20002.0,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
